kb_id,intent,title,question_examples,answer_summary,procedure_steps,required_documents,fee,processing_time,department,source_title,source_url,last_updated,keywords
KB-017,YOUTH_JOB,YOUTH_JOB 추가 FAQ 17,예시 질문 17|관련 문의 17,YOUTH_JOB 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,YOUTH_JOB;샘플;민원
KB-018,MOVE_IN_REPORT,MOVE_IN_REPORT 추가 FAQ 18,예시 질문 18|관련 문의 18,MOVE_IN_REPORT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,MOVE_IN_REPORT;샘플;민원
KB-019,CERTIFICATE_ISSUE,CERTIFICATE_ISSUE 추가 FAQ 19,예시 질문 19|관련 문의 19,CERTIFICATE_ISSUE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,CERTIFICATE_ISSUE;샘플;민원
KB-020,BULKY_WASTE,BULKY_WASTE 추가 FAQ 20,예시 질문 20|관련 문의 20,BULKY_WASTE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BULKY_WASTE;샘플;민원
KB-021,LOCAL_TAX,LOCAL_TAX 추가 FAQ 21,예시 질문 21|관련 문의 21,LOCAL_TAX 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LOCAL_TAX;샘플;민원
KB-022,WELFARE,WELFARE 추가 FAQ 22,예시 질문 22|관련 문의 22,WELFARE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,WELFARE;샘플;민원
KB-023,BUSINESS_PERMIT,BUSINESS_PERMIT 추가 FAQ 23,예시 질문 23|관련 문의 23,BUSINESS_PERMIT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BUSINESS_PERMIT;샘플;민원
KB-024,TRAFFIC_PARKING,TRAFFIC_PARKING 추가 FAQ 24,예시 질문 24|관련 문의 24,TRAFFIC_PARKING 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,TRAFFIC_PARKING;샘플;민원
KB-025,LIFE_ENV,LIFE_ENV 추가 FAQ 25,예시 질문 25|관련 문의 25,LIFE_ENV 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LIFE_ENV;샘플;민원
KB-026,YOUTH_JOB,YOUTH_JOB 추가 FAQ 26,예시 질문 26|관련 문의 26,YOUTH_JOB 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,YOUTH_JOB;샘플;민원
KB-027,MOVE_IN_REPORT,MOVE_IN_REPORT 추가 FAQ 27,예시 질문 27|관련 문의 27,MOVE_IN_REPORT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,MOVE_IN_REPORT;샘플;민원
KB-028,CERTIFICATE_ISSUE,CERTIFICATE_ISSUE 추가 FAQ 28,예시 질문 28|관련 문의 28,CERTIFICATE_ISSUE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,CERTIFICATE_ISSUE;샘플;민원
KB-029,BULKY_WASTE,BULKY_WASTE 추가 FAQ 29,예시 질문 29|관련 문의 29,BULKY_WASTE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BULKY_WASTE;샘플;민원
KB-030,LOCAL_TAX,LOCAL_TAX 추가 FAQ 30,예시 질문 30|관련 문의 30,LOCAL_TAX 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LOCAL_TAX;샘플;민원
KB-031,WELFARE,WELFARE 추가 FAQ 31,예시 질문 31|관련 문의 31,WELFARE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,WELFARE;샘플;민원
KB-032,BUSINESS_PERMIT,BUSINESS_PERMIT 추가 FAQ 32,예시 질문 32|관련 문의 32,BUSINESS_PERMIT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BUSINESS_PERMIT;샘플;민원
KB-033,TRAFFIC_PARKING,TRAFFIC_PARKING 추가 FAQ 33,예시 질문 33|관련 문의 33,TRAFFIC_PARKING 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,TRAFFIC_PARKING;샘플;민원
KB-034,LIFE_ENV,LIFE_ENV 추가 FAQ 34,예시 질문 34|관련 문의 34,LIFE_ENV 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LIFE_ENV;샘플;민원
KB-035,YOUTH_JOB,YOUTH_JOB 추가 FAQ 35,예시 질문 35|관련 문의 35,YOUTH_JOB 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,YOUTH_JOB;샘플;민원
KB-036,MOVE_IN_REPORT,MOVE_IN_REPORT 추가 FAQ 36,예시 질문 36|관련 문의 36,MOVE_IN_REPORT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,MOVE_IN_REPORT;샘플;민원
KB-037,CERTIFICATE_ISSUE,CERTIFICATE_ISSUE 추가 FAQ 37,예시 질문 37|관련 문의 37,CERTIFICATE_ISSUE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,CERTIFICATE_ISSUE;샘플;민원
KB-038,BULKY_WASTE,BULKY_WASTE 추가 FAQ 38,예시 질문 38|관련 문의 38,BULKY_WASTE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BULKY_WASTE;샘플;민원
KB-039,LOCAL_TAX,LOCAL_TAX 추가 FAQ 39,예시 질문 39|관련 문의 39,LOCAL_TAX 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LOCAL_TAX;샘플;민원
KB-040,WELFARE,WELFARE 추가 FAQ 40,예시 질문 40|관련 문의 40,WELFARE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,WELFARE;샘플;민원
KB-041,BUSINESS_PERMIT,BUSINESS_PERMIT 추가 FAQ 41,예시 질문 41|관련 문의 41,BUSINESS_PERMIT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BUSINESS_PERMIT;샘플;민원
KB-042,TRAFFIC_PARKING,TRAFFIC_PARKING 추가 FAQ 42,예시 질문 42|관련 문의 42,TRAFFIC_PARKING 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,TRAFFIC_PARKING;샘플;민원
KB-043,LIFE_ENV,LIFE_ENV 추가 FAQ 43,예시 질문 43|관련 문의 43,LIFE_ENV 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LIFE_ENV;샘플;민원
KB-044,YOUTH_JOB,YOUTH_JOB 추가 FAQ 44,예시 질문 44|관련 문의 44,YOUTH_JOB 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,YOUTH_JOB;샘플;민원
KB-045,MOVE_IN_REPORT,MOVE_IN_REPORT 추가 FAQ 45,예시 질문 45|관련 문의 45,MOVE_IN_REPORT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,MOVE_IN_REPORT;샘플;민원
KB-046,CERTIFICATE_ISSUE,CERTIFICATE_ISSUE 추가 FAQ 46,예시 질문 46|관련 문의 46,CERTIFICATE_ISSUE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,CERTIFICATE_ISSUE;샘플;민원
KB-047,BULKY_WASTE,BULKY_WASTE 추가 FAQ 47,예시 질문 47|관련 문의 47,BULKY_WASTE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BULKY_WASTE;샘플;민원
KB-048,LOCAL_TAX,LOCAL_TAX 추가 FAQ 48,예시 질문 48|관련 문의 48,LOCAL_TAX 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LOCAL_TAX;샘플;민원
KB-049,WELFARE,WELFARE 추가 FAQ 49,예시 질문 49|관련 문의 49,WELFARE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,WELFARE;샘플;민원
KB-050,BUSINESS_PERMIT,BUSINESS_PERMIT 추가 FAQ 50,예시 질문 50|관련 문의 50,BUSINESS_PERMIT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BUSINESS_PERMIT;샘플;민원
KB-051,TRAFFIC_PARKING,TRAFFIC_PARKING 추가 FAQ 51,예시 질문 51|관련 문의 51,TRAFFIC_PARKING 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,TRAFFIC_PARKING;샘플;민원
KB-052,LIFE_ENV,LIFE_ENV 추가 FAQ 52,예시 질문 52|관련 문의 52,LIFE_ENV 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LIFE_ENV;샘플;민원
KB-053,YOUTH_JOB,YOUTH_JOB 추가 FAQ 53,예시 질문 53|관련 문의 53,YOUTH_JOB 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,YOUTH_JOB;샘플;민원
KB-054,MOVE_IN_REPORT,MOVE_IN_REPORT 추가 FAQ 54,예시 질문 54|관련 문의 54,MOVE_IN_REPORT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,MOVE_IN_REPORT;샘플;민원
KB-055,CERTIFICATE_ISSUE,CERTIFICATE_ISSUE 추가 FAQ 55,예시 질문 55|관련 문의 55,CERTIFICATE_ISSUE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,CERTIFICATE_ISSUE;샘플;민원
KB-056,BULKY_WASTE,BULKY_WASTE 추가 FAQ 56,예시 질문 56|관련 문의 56,BULKY_WASTE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BULKY_WASTE;샘플;민원
KB-057,LOCAL_TAX,LOCAL_TAX 추가 FAQ 57,예시 질문 57|관련 문의 57,LOCAL_TAX 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,LOCAL_TAX;샘플;민원
KB-058,WELFARE,WELFARE 추가 FAQ 58,예시 질문 58|관련 문의 58,WELFARE 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,WELFARE;샘플;민원
KB-059,BUSINESS_PERMIT,BUSINESS_PERMIT 추가 FAQ 59,예시 질문 59|관련 문의 59,BUSINESS_PERMIT 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,BUSINESS_PERMIT;샘플;민원
KB-060,TRAFFIC_PARKING,TRAFFIC_PARKING 추가 FAQ 60,예시 질문 60|관련 문의 60,TRAFFIC_PARKING 관련 민원 안내 샘플 답변입니다.,질문 확인 > 조건 확인 > 절차 안내 > 담당 부서 연결,상황별 확인,상황별 확인,기관 확인 필요,담당 부서,샘플 행정 지식베이스,,2026-07-08,TRAFFIC_PARKING;샘플;민원
